Root,RelativePath,Size,Version,Description,SHA256,Category,Purpose,Recommendation,Evidence
A,file\contrib\file\5.03\file-5.03-src.zip,22327,,,b0372b16a8a88d1fe909b1de10183ad150d9d9bad520f4d63235ff951297f295,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\man\cat1\file.1.txt,18323,,,a9f3d14cc8c40219d976d878c7d0042bb9f640fcbe79198171bc1af8c7efc45a,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\man\cat1p\file.1p.txt,26815,,,968447f1b627ba6c09df3857e9b59c1d4e931a4c2776e43c6aa61641b9f3977b,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\man\cat3\libmagic.3.txt,6885,,,80d05b8b91c82e33255ac137ad0a0400b4cb7eb8409358041f6d4c0843bb568b,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\man\cat5\magic.5.txt,21045,,,500e9e561750f085a0efbffa7c3f881de9e625520b15989dab875b5ba4435fc6,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\manifest\file-5.03-bin.mft,1631,,,9fe898ba74b311d40eb7c5084f8ba7e7bbf51cd76a59632263565573cdd15558,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\manifest\file-5.03-bin.ver,42,,,a95278d809c34200dab4b2e0cf2b4e2cd184d9cd23bd08c875f9526b7630e4a4,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\manifest\file-5.03-dep.mft,118,,,d1602f5a0c532d6fd1f5e792fa2c57b05254093e7bac74eaf04273cb7ca7dc99,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\manifest\file-5.03-dep.ver,46,,,06b209d2554d819caee571dad9b8e8f0240355ecd9c4976ada017ee31fc3a595,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,file\share\misc\magic,536241,,,70bc0150b1db9d1f5e35ba67bfb54809aea0a4551052598548c933db63313939,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,file\share\misc\magic.mgc,1751200,,,e3db34147853b2e1012f2e40f10147d6e2bf08c6eb1010b6f19bc2e46660224d,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,GARbro\ArcFormats.dll,1977856,1.2.47.2109,ArcFormats,a9bd428a77a3be7714d07fc3fee00a7346dac4ae3e817d2a65d7afe9dedbfa3e,配套库,ArcFormats,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\ArcFormats.dll.config,9586,,,39f69a31a9918b9508991cf67cd5e3c5310ba1460bc4a9a481732b42bb67af29,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,GARbro\GameRes.dll,104448,1.5.43.316,GameRes,0ce0e7450037632655df1295b5764a2830f2de03782424f5caa82b1e6398cbe3,配套库,GameRes,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\GameRes.dll.config,1067,,,5ac8ef58fd332253733e98c06ebe74b2f7aadc6e7a2ae00d47f3c41ba5fce115,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,GARbro\GARbro.Console.exe,19968,1.0.0.0,GARbro.Console,7535777860356af94c66020acfc796152607672b7c030c864f573a6af37a4795,游戏与多媒体资源,多种游戏/视觉小说资源容器，ArcFormats.dll 和 Formats.dat 是配套。,不做游戏资源平台；安装包解出游戏文件即可。,本地版本资源；GARbro 作者项目
A,GARbro\GARbro.Console.exe.config,184,,,80ac57288bc8d680765237f734b918ebbfe35820044c635c6b78f65ad21e6da9,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,GARbro\ICSharpCode.SharpZipLib.dll,196608,1.1.0.145,ICSharpCode.SharpZipLib,828ba5aaa720f43fa02afe60d50f7de1f6117cb2f83bdda63e183dd00cd3b454,配套库,ICSharpCode.SharpZipLib,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\Microsoft.WindowsAPICodePack.dll,98304,1.1.2.0,Microsoft.WindowsAPICodePack,808e96f59e7dd2212eace049079d25545f6c9c3f05244ec9cdc539fda18d34d6,配套库,Microsoft.WindowsAPICodePack,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\Microsoft.WindowsAPICodePack.Shell.dll,542208,1.1.0.0,Microsoft.WindowsAPICodePack.Shell,e6fa9d9e34ff3bf63ce782654b14e4b54a3abd1022c87bc099032c2948157672,配套库,Microsoft.WindowsAPICodePack.Shell,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\NAudio.dll,479232,1.8.4.0,NAudio,afe31e250907a6f6fb8d6aebd79c576ef4d73ad61bc403de29cab8f4621de1d2,配套库,NAudio,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\Net20.dll,5120,1.0.0.0,Net20,ad139f2d417b199cc96cc58a3ecdff3384885854738d95ea2112f4fc5b9b85c2,配套库,Net20,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\NVorbis.dll,66048,0.8.6.0,NVorbis,dd049b810f39240a5405ff9eda8525c6b74065f1a032a1fb8350762bd1be9c3b,配套库,NVorbis,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\System.IO.FileSystem.dll,22736,4.6.24705.01,System.IO.FileSystem,2d917d520488b56673e74ac9dc610a2488ae70a7ebbbbff097c2e855ba1ef590,配套库,System.IO.FileSystem,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\System.Security.Cryptography.Algorithms.dll,39848,4.6.25815.03,System.Security.Cryptography.Algorithms,f9b760d6098ca0ec9ca7d6f38c54437200a312930f52ef5704e6e32413c7a217,配套库,System.Security.Cryptography.Algorithms,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\System.Security.Cryptography.Primitives.dll,22816,4.6.24705.01,System.Security.Cryptography.Primitives,5a6c8f69a8dea8a775331273aaae707eee2a2743fb1498c3cc4dbab679125d11,配套库,System.Security.Cryptography.Primitives,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,GARbro\GameData\Formats.dat,1085001,,,cb01a54eaf275d9edfa967fd358b22a96a94f5845b22e4f622dc66ab30bcd0fe,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,kgb\kgb2_console.exe,94208,"1, 0, 0, 2",KGB Archiver 2 Technology Preview console,08979b51587088655580a88980977eee64538fed97527d05be08450ce0668cdc,通用归档,KGB 归档，paq0–7.dll 为配套算法模块。,不做。,本地版本资源与 kgb 说明
A,kgb\paq0.dll,7680,"1, 0, 0, 2",Part of KGB Archiver 2,66d86cf26a4a4f723caed0f6830597974a7d132120687d2f4fca5b0709dd27b3,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,kgb\paq1.dll,24064,"1, 0, 0, 2",Part of KGB Archiver 2,f55739250231406f8a52418a541c8d024c9eab2dbc5da148f99a2ba838936cce,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,kgb\paq2.dll,40960,"1, 0, 0, 2",Part of KGB Archiver 2,c51f8ea677afc2a9ddfa79bf4ad4ea8cec95375eeee6d13a893c2c365f97a884,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,kgb\paq3.dll,40960,"1, 0, 0, 2",Part of KGB Archiver 2,2e0cf4d8cb1f5c00ef0984e291b310900e5d872db6cd4083dc45edfdd05f6c5b,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,kgb\paq4.dll,30208,"1, 0, 0, 2",Part of KGB Archiver 2,ee5765236a433b7b7512eb23fb65d3ea248f534f167b5c80cd70cdec3d74d4d9,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,kgb\paq5.dll,40960,"1, 0, 0, 2",Part of KGB Archiver 2,96b4a1ab4082ec275307c7fdd70ffeb3a3112463decbd2cc3c2a8d679d3e89f0,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,kgb\paq6.dll,53248,"1, 0, 0, 2",Part of KGB Archiver 2,663d57295481490a727ef562ec4e27d4bb835e9a78b82488d6961b86735c4614,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,kgb\paq7.dll,57344,"1, 0, 0, 2",Part of KGB Archiver 2,86ccf55d31a0dcd8dc090b3de53f2daa6b9cad59832b9d404d4ec06bbe99cf31,配套库,Part of KGB Archiver 2,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,lessmsi\LessIO.dll,19968,0.5.0,LessIO,c6f41c07e241a2a55e528f9c08a6e5bebbc5322203a8c620a69feec2b12e32a5,配套库,LessIO,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,lessmsi\lessmsi.core.dll,23552,1.0.10.18628,Less MSIérables (lessmsi) Core library,1c3f9c6512499103f872738ddcc3cdc5ce117f26918ea4be4640879be3811814,配套库,Less MSIérables (lessmsi) Core library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,lessmsi\lessmsi.exe,29184,1.0.10.13880,Less MSIérables (lessmsi) CLI interface,e6f05f70f1f6f43abd2c1f81d824facba0e6ff353a8173792e787523749c162d,安装包与封装,Windows Installer MSI/MSM 内容提取；其中 MsiX 是旧工具名称，不是现代 MSIX 格式。,已有 MSI；优先补多 CAB、外置 CAB、松散源文件。,本地版本资源；lessmsi 上游
A,lessmsi\lessmsi.exe.config,176,,,41719f373e4be04ba5c9c8b5a04809ba1a475066a4e86db9f7aa2b0b5a2e0fff,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
A,lessmsi\libmspackn.dll,13312,0.8,libmspack4n,b61024f136fb1ff3c448c669e35ab64bfc1c03eb6c60d470110ce310a6ea574b,配套库,libmspack4n,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,lessmsi\mspack.dll,134656,,,d5cef1f3490116d84d757607e72e60141fc692f868ad1601067da8c6ddd21bc9,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,lessmsi\wix.dll,1015808,2.0.2110.0,Windows Installer XML,30ca53d36550746974d1bfed78192407f65937603164b0dfb39352f8a31f8333,配套库,Windows Installer XML,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,lessmsi\wixcab.dll,188416,,,6bedfb95db4e38e7461dbfcebc25f7d5fe2498877564bba5495cf5b419676e42,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\DiscUtils.dll,1021440,0.11.0.0,DiscUtils,770d8501040069f406565d2ef0afc5ebaf4e4a597e29e166ca1a926c4e4d7dc9,配套库,DiscUtils,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\gentee.so,47104,,,2b4a4bbd80f6d29f70619b7390d4cbc2eb270f4b5e5fce3eab8e6a7fa1f839eb,Observer 插件,Gentee / CreateInstall 安装包,近期样本驱动的候选,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\glib-2.0.dll,946176,2.28.8.0,GLib,e10476101494ab06aa2e8f89ea05016879fc28b73a78107f2aa88572bdbca812,配套库,GLib,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\gmime.dll,244224,,,5d4930f405bbf503521defa4c3f5efcc7d5490c9cea49e0bad1ecb38dbf60c61,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\gobject-2.0.dll,229888,2.28.8.0,GObject,61193f0c681dedb07cf14e85565daeee3bcc00516cb05d6313e174af368ee13a,配套库,GObject,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\ishield.so,74752,,,6161df22bf56ad602af633eb96551c7f6140dde77b0ca5c6c94f52cd9c0f47ac,Observer 插件,InstallShield CAB/HDR/Z/部分 EXE,近期结构值得新增,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\isoimg.so,37376,,,0a35f17f765b6f43586b9f4fd12c80d7fcd7925c72d332809e8c78a31ffc231e,Observer 插件,ISO 等光盘镜像,可选外层载体，后置,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\libbz2.dll,57344,,bzip2 data compression library,18c8c32abb14238be3597002209efe72f99bda78f1a26db1f326680270d3a246,配套库,bzip2 data compression library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\mbox.so,18944,,,fbfa9db81609f57e96a396331ab1d03a31fc4541953ac5af0367a0b628ca0aae,Observer 插件,MBox 等邮件容器,范围外,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\mime.so,16896,,,aa006a872f748d3fb836d775c4b2c12e3d9379a6e92738fa8e52d449e2541296,Observer 插件,EML/MHT 等 MIME 内容,范围外,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\mpq.so,195584,,,93229274687dcab26673ef39f62b094ee86e81913794497089869e25a31ec622,Observer 插件,Blizzard MPQ 游戏容器,范围外,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\msi.so,116736,,,b961483fd09ea462ee93bd07361273c7a55a27aa2b635a0a231e2f09d15f0e94,Observer 插件,MSI/MSM,增强现有 MSI,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\msvcp100.dll,421200,10.00.40219.1,Microsoft® C Runtime Library,d769fafa2b3232de9fa7153212ba287f68e745257f1c00fafb511e7a02de7adf,配套库,Microsoft® C Runtime Library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\msvcr100.dll,773968,10.00.40219.1,Microsoft® C Runtime Library,60c06e0fa4449314da3a0a87c1a9d9577df99226f943637e06f61188e5862efa,配套库,Microsoft® C Runtime Library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,modules\nsis.so,126464,,,4a395244d422444bdb021a5bc02788a96d8d6ca86cbe75b7bdb1e0fb7778d9db,Observer 插件,NSIS 安装包,已有；增强现有 NSIS,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\pst.so,233472,,,13f6602a09feb9ef9823c108ff38209bd28d25406c5e5ab0922c112f240d7b98,Observer 插件,Outlook PST 邮件库,范围外,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\sfact.so,44032,,,ce655638fe67ff2f66c96c9c026c75e1ef9edddf11baa644619fe9703fc7cd2b,Observer 插件,Setup Factory 安装包,近期样本驱动的候选,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\udfimg.so,42496,,,30ec31ceb6a65a1ccf69fd310a893a4119d835dc611fb0956d8d847a68f127a1,Observer 插件,UDF 光盘镜像,可选外层载体，后置,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\valve.so,89600,,,bf2bcf8ed7d1d2262b4d7c6efcdb7fe49b3c338e2d27ba1c5b354d07d13285e9,Observer 插件,Valve/Steam GCF、VPK、PAK、WAD、BSP 等,范围外,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\vdisk.so,57344,,,514508dd0597ddf76de66666369ab68680cb0cdf0943f7fa5839744dafda4957,Observer 插件,虚拟磁盘镜像,范围外,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\wcx.so,20480,,,d6f6d37d8203b417cef4c73405018468e623e0e538f13db211e67175a4300758,Observer 插件,Total Commander WCX 插件桥接,无需实现宿主,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\wise.so,18944,,,1ca7160874f77fdc1fb6829739dd49a9cb713ffafcaf4eade6e2afe57c30372b,Observer 插件,Wise 安装包,低优先级,本地 Observer 作者说明、observer.ini；文件存在不保证已加载
A,modules\zlib1.dll,69120,1.2.8,zlib data compression library,8e2618b4433e568a2a2c8ae6887a174ff7e2e658e6e1a4f63662b9aee8fb236b,配套库,zlib data compression library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,Unp\Bzip2_1.unp,8192,,,30cd5ec7c6778fbd3d8ad922ee365f0766d1610833101c44c71b2f1f42500121,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\Bzip2_2.unp,16896,,,f7b420f1bcd3d0754f105323aa4a86ce1d46b78832fd934db101c27a748c1c0f,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\Bzip2_3.unp,6144,,,ff574a600fb1ae9db98e912762c5ff62dd054b336a4881986ed2d5d21ab1bd53,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\Eschalon.unp,4096,,,0ceb97c8c016d1a2592aa24a09f47db4748e709d9184151be21bcc7049ce683b,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\Gentee.unp,4096,,,429dfb2b761ee9107b02a5764f78b6e9894ffd4b7e22b3b50fb81b0257491bc8,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\inflate1.unp,9216,,,7c4ee80c3cc8017a8d36f0a0973593207227f815cebce397e326ac3483dcb5ce,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\inflate2.unp,15872,,,c5d514ac97f6da17db86bb4d8b9fbb31b1857d7c42928c309f3f91f9448e0096,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\inflate3.unp,8192,,,fa34b0390cfb60abdef02d5ce25f39fd6133bf068ca81a7159257ce13a50f17c,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\lzma.unp,4608,,,01275fa6c27d188ea7b656f79a2a0932ec352c080a72b42dd78843173655e6e3,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\pkware.unp,5120,,,f258b715c6f25d96869b49d7f0c9a379d39904b316e1fff9457332691c0ec7b0,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,Unp\vise.unp,8704,,,63f8f6ee57e49535d239bddaedc8bd2fd8ed6388fc89c83656cd46cf5e8e2460,插件内部模块,Unp：解压方法或 Eschalon/Gentee/VISE 格式辅助模块；不是独立 EXE,参考相关格式时再核实具体接口,本地名称与 InstallExplorer 说明；未动态加载
A,x64\7z.dll,1679360,19.00,7z Plugin,34ad9bb80fe8bf28171e671228eb5b64a55caa388c31cb8c0df77c0136735891,配套库,7z Plugin,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,x64\7z.exe,468992,19.00,7-Zip Console,344f076bb1211cb02eca9e5ed2c0ce59bcf74ccbc749ec611538fa14ecb9aad2,通用归档,通用归档读取；完整 7-Zip 还支持许多安装器、镜像等容器。,借鉴识别和边界检查；本项目现有 7z SDK 子集不等于完整 7-Zip 能力。,本地版本资源；7-Zip 官方项目
A,x64\bcm.exe,234496,,,d66bcc333dba424aae5d992a04899a17e7400b423e179d931ecbf4d2eb03d196,通用归档,BCM 压缩格式。,低优先级。,本地 bcm 说明；作者工具表
A,x64\UnRAR.exe,419792,5.91.0,Command line RAR,90ca447b4bca0ae2b4b7b2590f99a8d59ff0b5ed442bb0f61bf14e8f6a17cec7,通用归档,RAR 和 RAR 自解压归档。,通用下载包的候选增强；使用原生归档基础库，无需自写 RAR 算法。,本地版本资源；上游工具表
A,x64\zpaq.exe,1125376,,,7a94b4f1d6323a758c7b0b6344036f166bff0fd44f1c3c86f05b3688023496cb,通用归档,ZPAQ 归档/增量备份。,低优先级。,本地 zpaq 说明
A,x86\7z.dll,1141248,19.00,7z Plugin,db2897eeea65401ee1bd8feeebd0dbae8867a27ff4575f12b0b8a613444a5ef7,配套库,7z Plugin,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,x86\7z.exe,292864,19.00,7-Zip Console,a20d93e7dc3711e8b8a8f63bd148ddc70de8c952de882c5495ac121bfedb749f,通用归档,通用归档读取；完整 7-Zip 还支持许多安装器、镜像等容器。,借鉴识别和边界检查；本项目现有 7z SDK 子集不等于完整 7-Zip 能力。,本地版本资源；7-Zip 官方项目
A,x86\bcm.exe,172544,,,a0926143cea811c845ddbfaac8732ef2be59fe73506913472d2725f53c9800fa,通用归档,BCM 压缩格式。,低优先级。,本地 bcm 说明；作者工具表
A,x86\UnRAR.exe,389072,5.91.0,Command line RAR,f48e1e02aff994e23d710fd3873fa69d85c1e614e059c74f4a34c326dc0c95f7,通用归档,RAR 和 RAR 自解压归档。,通用下载包的候选增强；使用原生归档基础库，无需自写 RAR 算法。,本地版本资源；上游工具表
A,x86\zpaq.exe,1094656,,,a0f127a70943b0262060498c1723c795a8e2980f1acf0c42ee8c1dae72ae54b5,通用归档,ZPAQ 归档/增量备份。,低优先级。,本地 zpaq 说明
B,AFPIunpack.exe,565276,,,8b683921377731905a81751765169718f06212eb7e1cb40d0b66c6baa3a5b60c,安装包与封装,Adobe Flash Player 安装器解包。,不纳入主线。,本地二进制静态自述 Adobe flash player installer unpack；未执行
B,arc.exe,84480,5.21j.1926,Arc: create and extract files from DOS .ARC files,802695c1cba1bab7aa0c3531b40d769587a925201aee4f7d58d85b99f4f7ff33,通用归档,传统 DOS ARC 归档。,不做。,本地 FileDescription
B,AspackDie.exe,13312,,,465e075688109b59ce08d12499751a6eff19cc825941e9d4dec9b792ae5220d5,识别、宿主及可执行程序封装,ASPack 可执行文件脱壳；配套 ForceLibrary.dll。,不做。,本地 aspackdie 说明；ForceLibrary 版本资源
B,AspackDie22.exe,13312,,,d6da73a67fc3568b65a2f89fe9a87cc4b05f7b2b978bf1d73caa68215d75a00e,识别、宿主及可执行程序封装,ASPack 可执行文件脱壳；配套 ForceLibrary.dll。,不做。,本地 aspackdie 说明；ForceLibrary 版本资源
B,Au3.bin,649216,"3, 3, 8, 1",,8378a324a838ef0ab3ceed73b8840d7b948c2607a35820a4d968894e1dfa2355,运行时辅助,AutoIt 3.3.8.1 运行时辅助文件；实际调用方式未核实,无需引入,本地版本资源
B,bootimg.exe,4005373,,,66eeb385e0ccd0a4233ac2f95949d7a904dca8f62abc872ba0f767d85d6122e2,镜像与固件,Android boot image 拆分工具；按上游同名工具路由判断，本地具体版本未核实。,不做。,UniExtract 源码 TYPE_BOOTIMG 与本地文件名；用途对应关系为静态推断
B,cdirip.exe,9216,,,203c7814bd3c5ce0f6c8353021fb26c0796ad490372ef1b80650d1abd4cc7609,镜像与固件,DiscJuggler CDI 光盘镜像拆分。,不纳入主线。,本地静态标识；本地格式表
B,clit.exe,46080,,,e87bf25bf6251c9e5cbdf5154eed9bf45e3189501c6a6e9e6d6adea6bdb55078,文档、邮件与数据转换,分别反编译 WinHelp HLP、展开 Microsoft Reader LIT 电子书。,不做。,本地作者说明；A/def/lit.ini
B,cmdTotal.exe,5632,,,140b89b4beb65f4b24464bc477a1fd8a2b4acba3927014f9fe3ad539bbe2948b,识别、宿主及可执行程序封装,命令行 WCX 插件宿主，调用指定插件列出/提取文件。,无需重做插件 ABI；沿用我们的格式模块接口。,本地静态 Usage 字符串
B,daa2iso.exe,33792,,,d75498d5d7778ce42606a4c91f9d5cf3daaa6a96eff5eb71faefd9b969d0c28b,镜像与固件,分别把 DAA、UIF 镜像转换成 ISO。,不做专用转换器。,本地作者说明
B,dbxplug.wcx,97792,1.0.9.11,Plugin for Windows Commander: Outlook Expres 5.X  DBX-File reader,0f6dfaf483982730a147d629e9ee4e813f680a1d2b26ed95eba254af44f1e5a3,WCX 插件,Outlook Express DBX 邮件库插件,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
B,dgcac.exe,266240,,,9b8b4a8515bb29c75bdc380a1c1aef161fd13f316977d3ab50cfddaa41ad9e97,通用归档,DGCA / DGC 归档。,低优先级。,本地 FORMATS.md；二进制静态标识
B,Dpx.dll,262544,6.1.7600.16385 (win7_rtm.090713-1255),Microsoft(R) Delta Package Expander,0a43165b69c5612a2f8455953deca6af7a41b87055d7b9e42e847a117a166898,配套库,Microsoft(R) Delta Package Expander,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
B,E_WISE_W.EXE,38400,,,f25cf0f24f9aa398fa54b0a3559d670db7c3a12f44340a2730d35584772354df,安装包与封装,Wise Installer 静态载荷提取；E_WISE.INI 提供配套信息。,低优先级；遇到实际近期样本再排期。,本地 ewise / wun 作者说明
B,E_WISE.INI,1583,,,81607ec83cd1c1cd75bee81a1d76773a3174e9a3df71c3e0dcad4d9d0842e66e,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
B,EnigmaVBUnpacker.exe,632320,0.6.3.0,EnigmaVBUnpacker - static Enigma Virtual Box unpacker,8b40745ffa5e1da06ae7c335e62822fa690007aea000a2ca15c059c13ed1fbd2,识别、宿主及可执行程序封装,Enigma Virtual Box 单文件虚拟文件系统的静态拆包。,可选扩展，排在常见安装包之后；提取完成不代表程序能脱离虚拟化运行。,本地 FileDescription；作者说明
B,Exe2Aut.exe,134144,0.11,Tiny AutoIt3 Decompiler,a3629d5fe536229d60ae2f0f48d9e78e304c5bb30aa85b1b4983c244f6f17106,识别、宿主及可执行程序封装,AutoIt 编译脚本反编译。,不做源代码恢复；与安装包载荷提取区分。,本地 FileDescription
B,Expand.exe,59280,6.1.7600.16385 (win7_rtm.090713-1255),LZ Expansion Utility,c65c613df6306a686452ec26d5c6ad8b73f55a5a1b97fda9f31255f3bfa3111c,安装包与封装,Windows 压缩文件/CAB 展开工具；本地携带的是 Windows 7 版本。,实现独立标准 CAB 入口；直接使用系统 FDI，已有基础可复用。,本地版本资源；Microsoft CAB 文档
